razon_social_publicada,tipo_aparente,programa_publicado,programa_interno_csv,archivo_csv,anio,mes,fecha_otorgamiento,fecha_acto,numero_acto,monto_maximo_programa_clp,tipo_financiamiento
DISEÑO PUBLICIDAD E IMPRESIÓN DIGITAL SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,26-08-2025,26-08-2025,CER-D10-015185,5000000.0,subsidio directo
DISEÑO PUBLICIDAD E IMPRESIÓN DIGITAL SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,20-08-2025,20-08-2025,CER-D10-015172,1200000.0,subsidio directo
DISTRIBUIDORA Y VENTA DE AGUA ENVASADA Y ARTÍCULOS COMPLEMENTARIOS,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,21-10-2025,21-10-2025,CER-D15-015346,9000000.0,subsidio directo
DISTRIBUIDORA Y VENTA DE AGUA ENVASADA Y ARTÍCULOS COMPLEMENTARIOS,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
ECO CHILE SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,20-10-2025,20-10-2025,CER-D06-015338,9000000.0,subsidio directo
ECO CHILE SPA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
EDITH VERÓNICA APAZ RAMÍREZ,persona natural o razon social sin forma societaria visible,Digitaliza tu Almacén,Digitaliza Tu Almacén,Digitaliza tu almacén 2025.csv,2025,julio,01-07-2025,01-07-2025,CER-D15-015042,3000000.0,subsidio directo
EDITH VERÓNICA APAZ RAMÍREZ,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,29-08-2025,29-08-2025,CER-D15-015182,1200000.0,subsidio directo
ELABORADORA BOA VIDA DE MARÍA FRANCISCA MARDONES NARANJO EIRL,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,15-10-2025,15-10-2025,CER-D13-015331,9000000.0,subsidio directo
Elaboradora Boa Vida de María Francisca Mardones Naranjo EIRL,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
EMBALAJES INDUSTRIALES ARAYA LTDA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,15-10-2025,15-10-2025,CER-D13-015331,9000000.0,subsidio directo
